id,koordinat_x_before,koordinat_y_before
3971,107.527,-6.88271
3972,107.527,-6.88275
3973,107.527,-6.8828
3974,107.527,-6.88286
3975,107.527,-6.88299
3976,107.527,-6.88301
3977,107.527,-6.88304
3978,107.527,-6.88313
3979,107.528,-6.88316
3980,107.528,-6.88322
3981,107.528,-6.88327
3982,107.528,-6.88332
3983,107.528,-6.8834
3984,107.528,-6.88346
3985,107.528,-6.8835
3986,107.528,-6.88355
3987,107.528,-6.88357
3988,107.528,-6.88367
3989,107.53,-6.88122
3990,107.53,-6.88139
3991,107.53,-6.88148
3992,107.53,-6.88159
3993,107.53,-6.8817
3994,107.53,-6.88179
3995,107.53,-6.88191
3996,107.53,-6.88201
3997,107.53,-6.88214
3998,107.527,-6.8827
3999,107.527,-6.88275
4000,107.527,-6.88279
4001,107.527,-6.88284
4002,107.527,-6.88288
4003,107.527,-6.88295
4004,107.527,-6.88303
4005,107.527,-6.88306
4006,107.527,-6.88312
4007,107.528,-6.88316
4008,107.528,-6.88323
4009,107.528,-6.88327
4010,107.528,-6.88334
4011,107.528,-6.88339
4012,107.528,-6.88347
4013,107.528,-6.88354
4014,107.528,-6.88357
4015,107.528,-6.88361
4016,107.528,-6.88363
4017,107.529,-6.88363
4018,107.53,-6.88119
4019,107.53,-6.88141
4020,107.53,-6.88147
4021,107.53,-6.88154
4022,107.53,-6.88163
4023,107.53,-6.8817
4024,107.53,-6.88176
4025,107.53,-6.88185
4026,107.53,-6.88198
4027,107.53,-6.88207
4028,107.53,-6.88218
4029,107.53,-6.88225
4030,107.53,-6.88233
4031,107.53,-6.88238
4032,107.529,-6.88242
4033,107.529,-6.88244
4034,107.529,-6.88251
4035,107.529,-6.88253
4036,107.529,-6.88256
4037,107.529,-6.8826
4038,107.529,-6.88262
4039,107.529,-6.88275
4040,107.529,-6.88278
4041,107.529,-6.88284
4042,107.529,-6.88287
4043,107.529,-6.88294
4044,107.529,-6.88298
4045,107.529,-6.88307
4046,107.529,-6.88315
4047,107.529,-6.88322
4048,107.529,-6.88325
4049,107.529,-6.88326
4050,107.529,-6.8833
4051,107.529,-6.88332
4052,107.529,-6.88339
4053,107.529,-6.8834
4054,107.529,-6.8835
4055,107.529,-6.88355
4056,107.529,-6.88363
4057,107.534,-6.90384
4058,107.532,-6.90375
4059,107.532,-6.90375
4060,107.531,-6.90393
4061,107.53,-6.90396
4062,107.53,-6.90409
4063,107.53,-6.9041
4064,107.53,-6.90411
4065,107.53,-6.90412
4066,107.53,-6.90416
4067,107.529,-6.90419
4068,107.529,-6.90426
4069,107.529,-6.90426
4070,107.529,-6.90431
4071,107.529,-6.90432
4072,107.529,-6.90433
4073,107.529,-6.90434
4074,107.529,-6.90435
4075,107.529,-6.9044
4076,107.528,-6.90444
4077,107.528,-6.90446
4078,107.528,-6.9045
4079,107.528,-6.90452
4080,107.528,-6.90454
4081,107.528,-6.9046
4082,107.528,-6.90462
4083,107.526,-6.90503
4084,107.526,-6.90513
4085,107.525,-6.90529
4086,107.525,-6.90538
4087,107.524,-6.90556
4088,107.524,-6.9056
4089,107.524,-6.90565
4090,107.524,-6.90565
4091,107.524,-6.90568
4092,107.523,-6.90585
4093,107.523,-6.90594
4094,107.522,-6.90597
4095,107.522,-6.90606
4096,107.522,-6.90613
4097,107.521,-6.90623
4098,107.521,-6.90618
4099,107.52,-6.90611
4100,107.52,-6.90606
4101,107.52,-6.90589
4102,107.52,-6.90587
4103,107.519,-6.90578
4104,107.519,-6.90577
4105,107.518,-6.90496
4106,107.518,-6.90468
4107,107.518,-6.9041
4108,107.518,-6.90406
4109,107.518,-6.90384
4110,107.518,-6.90382
4111,107.518,-6.90372
4112,107.517,-6.90359
4113,107.517,-6.90339
4114,107.517,-6.9033
4115,107.517,-6.90312
4116,107.517,-6.90301
4117,107.516,-6.90287
4118,107.516,-6.9024
4119,107.516,-6.90217
4120,107.515,-6.9006
4121,107.515,-6.89996
